,wlcode
W21338,4
W31919,4
W31934,4
W31933,4
W31932,4
W31931,4
W31930,4
W15809,4
W21258,4
W31926,4
W31925,4
W31924,4
W31923,4
W31922,4
W32029,4
W31921,4
W32030,4
W21538,4
W31985,4
W31984,4
W21406,4
W15779,4
W31980,4
W31979,4
W31978,4
W31977,4
W31976,4
W32012,4
W32014,4
W15456,4
W32032,4
W21582,4
W21580,4
W32054,4
W32053,4
W32050,4
W32047,4
W32046,4
W32044,4
W32043,4
W04141,4
W32039,4
W21547,4
W32034,4
W32033,4
W32015,4
W31989,4
W31920,4
W31971,4
W31956,4
W31954,4
W31953,4
W31952,4
W31951,4
W31950,4
W31949,4
W31948,4
W31947,4
W31946,4
W31945,4
W31943,4
W15804,4
W31941,4
W31940,4
W31939,4
W32057,4
W32058,4
W04181,4
W32169,4
W21836,4
W21835,4
W21834,4
W04362,4
W32179,4
W32178,4
W32177,4
W31957,4
W31918,4
W31958,4
W31960,4
W31916,4
W31915,4
W31914,4
W31913,4
W31912,4
W31911,4
W31910,4
W31909,4
W31908,4
W31907,4
W31906,4
W31905,4
W31904,4
W21176,4
W31935,4
W31936,4
W31937,4
W31938,4
W31969,4
W31968,4
W31967,4
W21293,4
W31965,4
W31964,4
W31963,4
W31962,4
W31961,4
W15798,4
W32352,4
W21300,4
W32354,4
W03905,4
W31814,4
W20922,4
W03896,4
W31810,4
W31809,4
W31808,4
W20908,4
W20904,4
W31803,4
W20884,4
W20873,4
W20968,4
W03885,4
W20821,4
W20810,4
W31794,4
W20809,4
W20804,4
W31791,4
W03868,4
W16776,4
W19814,4
W32496,4
W18319,4
W00150,4
W20829,4
W03915,4
W31818,4
W31819,4
W03785,4
W03770,4
W20497,4
W16026,4
W31824,4
W20490,4
W31760,4
W03638,4
W16080,4
W31756,4
W31755,4
W30732,4
W20424,4
W16099,4
W16100,4
W30738,4
W03486,4
W03412,4
W30740,4
W31786,4
W20783,4
W20788,4
W20798,4
W15909,4
W03917,4
W31821,4
W31820,4
W31274,4
W19430,4
W19429,4
W31261,4
W19481,4
W31319,4
W19480,4
W00723,4
W19479,4
W17552,4
W31313,4
W17553,4
W31044,4
W31310,4
W31306,4
W31049,4
W17577,4
W31065,4
W00552,4
W31050,4
W17588,4
W31051,4
W00398,4
W17601,4
W17605,4
W31056,4
W17618,4
W31057,4
W31058,4
W31060,4
W31063,4
W19482,4
W31770,4
W31322,4
W17534,4
W18190,4
W31259,4
W31082,4
W31256,4
W31251,4
W31088,4
W31089,4
W18283,4
W31246,4
W31092,4
W31279,4
W31093,4
W31098,4
W31100,4
W19388,4
W31103,4
W18400,4
W19386,4
W19385,4
W18471,4
W18480,4
W18491,4
W18523,4
W19384,4
W18525,4
W31068,4
W31066,4
W17575,4
W31771,4
W03793,4
W20709,4
W31590,4
W16575,4
W31588,4
W02768,4
W30866,4
W31585,4
W31584,4
W16597,4
W16606,4
W16609,4
W31577,4
W16135,4
W31742,4
W02489,4
W31843,4
W03927,4
W31856,4
W31855,4
W31854,4
W31853,4
W31852,4
W31851,4
W31850,4
W31849,4
W31848,4
W31847,4
W15902,4
W31592,4
W20978,4
W31595,4
W30857,4
W32353,4
W16744,4
W30889,4
W30890,4
W30891,4
W16755,4
W30893,4
W30894,4
W16772,4
W31568,4
W30877,4
W19821,4
W19822,4
W16517,4
W19897,4
W31618,4
W31617,4
W31616,4
W16529,4
W31614,4
W16530,4
W16533,4
W16537,4
W16539,4
W16542,4
W31606,4
W30856,4
W30858,4
W31064,4
W31844,4
W31860,4
W21062,4
W31879,4
W31863,4
W31877,4
W31876,4
W31875,4
W31874,4
W15890,4
W31871,4
W31870,4
W21033,4
W31868,4
W31867,4
W31866,4
W31865,4
W31864,4
W31827,4
W31826,4
W31825,4
W20492,4
W20751,4
W20750,4
W20744,4
W20743,4
W20728,4
W20724,4
W20723,4
W31882,4
W31842,4
W31883,4
W03957,4
W20977,4
W31840,4
W31839,4
W15903,4
W31837,4
W31836,4
W31835,4
W31834,4
W20974,4
W31832,4
W31831,4
W31830,4
W31829,4
W31828,4
W31859,4
W21001,4
W20344,4
W31880,4
W31897,4
W31896,4
W31895,4
W31894,4
W31893,4
W31891,4
W31888,4
W31887,4
W31886,4
W31884,4
W18546,4
W31873,4
W18661,4
W31339,4
W17504,4
W19485,4
W31032,4
W31335,4
W17506,4
W17510,4
W17524,4
W31033,4
W17525,4
W19484,4
W17527,4
W19495,4
W19496,4
W19497,4
W19498,4
W19548,4
W19547,4
W17266,4
W19546,4
W19545,4
W01550,4
W31392,4
W19543,4
W19532,4
W19531,4
W01516,4
W31030,4
W19530,4
W19486,4
W31343,4
W30929,4
W17014,4
W17028,4
W30941,4
W02015,4
W30948,4
W17061,4
W01961,4
W31461,4
W17245,4
W31401,4
W17257,4
W00867,4
W19494,4
W19493,4
W19492,4
W19491,4
W31018,4
W17424,4
W31354,4
W17446,4
W19489,4
W19488,4
W31022,4
W31347,4
W19487,4
W31025,4
W01565,4
W02113,4
W30997,4
W19529,4
W32311,4
W32328,4
W32310,4
W32309,4
W32308,4
W32307,4
W32306,4
W32305,4
W32304,4
W32303,4
W32302,4
W32301,4
W32300,4
W32299,4
W32298,4
W32297,4
W32327,4
W32329,4
W32362,4
W32346,4
W32360,4
W19330,4
W32358,4
W32357,4
W32356,4
W18555,4
W32355,4
W32313,4
W17322,4
W32314,4
W32316,4
W19528,4
W19502,4
W31379,4
W17335,4
W31377,4
W31376,4
W01414,4
W17360,4
W19501,4
W17376,4
W17380,4
W19500,4
W19499,4
W31898,4
W21173,4
W31900,4
W32312,4
W32326,4
W32325,4
W32324,4
W32323,4
W32322,4
W32321,4
W32320,4
W32319,4
W32318,4
W32317,4
W32315,4
W30926,4
W31375,4
W30921,4
W19288,4
W31180,4
W31181,4
W31123,4
W18664,4
W18665,4
W19383,4
W18683,4
W31212,4
W18694,4
W19382,4
W19381,4
W18716,4
W19380,4
W19379,4
W18775,4
W31114,4
W19378,4
W18911,4
W19147,4
W19377,4
W19210,4
W19211,4
W19376,4
W19212,4
W19244,4
W19248,4
W19329,4
W19249,4
W19328,4
W19326,4
W31130,4
W31124,4
W02173,4
W31177,4
W31176,4
W31174,4
W19289,4
W31171,4
W31127,4
W31169,4
W31168,4
W31167,4
W31128,4
W31165,4
W31163,4
W31162,4
W19321,4
W31217,4
W31156,4
W19333,4
W31154,4
W19322,4
W19323,4
W19324,4
W31150,4
W19325,4
W31135,4
W31145,4
W19250,4
W19327,4
W19251,4
W31410,4
W17208,4
W31407,4
W17215,4
W17220,4
W17222,4
W31446,4
W01959,4
W31037,4
W19776,4
W02437,4
W30900,4
W31523,4
W30904,4
W31514,4
W19783,4
W31512,4
W19782,4
W19781,4
W19780,4
W19779,4
W19778,4
W19777,4
W31187,4
W19775,4
W02206,4
W31460,4
W30985,4
W31413,4
W30899,4
W31416,4
W19483,4
W31184,4
W00766,4
W19264,4
W31415,4
W16797,4
W17174,4
W01948,4
W01937,4
W01933,4
W30968,4
W17123,4
W17138,4
W17141,4
W30967,4
W30972,4
W30980,4
W31453,4
W19595,4
W17173,4
W30981,4
W19596,4
W17176,4
W19594,4
W17163,4
W19597,4
W17151,4
W33379,8
W08597,8
W13366,8
W08629,8
W11089,8
W33154,8
W10947,8
W11038,8
W10453,8
W10419,8
W10365,8
W33157,8
W11032,8
W11147,8
W07256,8
W07363,8
W33162,8
W07368,8
W07367,8
W11092,8
W07371,8
W07379,8
W13186,8
W33214,8
W33205,8
W07335,8
W33195,8
W13277,8
W33183,8
W07303,8
W07294,8
W13318,8
W33161,8
W11096,8
W10761,8
W33540,8
W33613,8
W33612,8
W33611,8
W33610,8
W33609,8
W10772,8
W33614,8
W33605,8
W33600,8
W33599,8
W10800,8
W33224,8
W10788,8
W33596,8
W33601,8
W10623,8
W10922,8
W33573,8
W33532,8
W08631,8
W11226,8
W11242,8
W33526,8
W11260,8
W33523,8
W10251,8
W33521,8
W33518,8
W11291,8
W33513,8
W10234,8
W10945,8
W10941,8
W11097,8
W07380,8
W07676,8
W13370,8
W08509,8
W08432,8
W08405,8
W08342,8
W08337,8
W08332,8
W08553,8
W08313,8
W08231,8
W12561,8
W33341,8
W08138,8
W08132,8
W12625,8
W12525,8
W12327,8
W12804,8
W07829,8
W13162,8
W10603,8
W13068,8
W07576,8
W13090,8
W07528,8
W33264,8
W13111,8
W33257,8
W07442,8
W33245,8
W33244,8
W13144,8
W07419,8
W12921,8
W08101,8
W07253,8
W12679,8
W12716,8
W33227,8
W07104,8
W13637,8
W33059,8
W06889,8
W13701,8
W13566,8
W13702,8
W33037,8
W33028,8
W33026,8
W13835,8
W33144,8
W07250,8
W33048,8
W33091,8
W07126,8
W13504,8
W07919,8
W07907,8
W33312,8
W33236,8
W13163,8
W06583,8
W07108,8
W07238,8
W07237,8
W13406,8
W07230,8
W13413,8
W13483,8
W33119,8
W13500,8
W12703,8
W10567,8
W31955,8
W10878,8
W04559,8
W04518,8
W04485,8
W32230,8
W32229,8
W32222,8
W04570,8
W04457,8
W04423,8
W32207,8
W32204,8
W32203,8
W32201,8
W32200,8
W32213,8
W04575,8
W04578,8
W04584,8
W32116,8
W32113,8
W15568,8
W32107,8
W15585,8
W32101,8
W32098,8
W15595,8
W32093,8
W32092,8
W15625,8
W32181,8
W32182,8
W15515,8
W04365,8
W32199,8
W32081,8
W04383,8
W15509,8
W31841,8
W15907,8
W31816,8
W31813,8
W03904,8
W31807,8
W31845,8
W31805,8
W03888,8
W31983,8
W31986,8
W04073,8
W13040,8
W32001,8
W31804,8
W31857,8
W32076,8
W31861,8
W32186,8
W32089,8
W32080,8
W13856,8
W31862,8
W31974,8
W15783,8
W04050,8
W03999,8
W31917,8
W31903,8
W03990,8
W03989,8
W03981,8
W03979,8
W32194,8
W33589,8
W32123,8
W04310,8
W09018,8
W09016,8
W12171,8
W08811,8
W08779,8
W12235,8
W09020,8
W08769,8
W08672,8
W12288,8
W08668,8
W09575,8
W09768,8
W10208,8
W08676,8
W12126,8
W09029,8
W09034,8
W10889,8
W10893,8
W10483,8
W11311,8
W11324,8
W11325,8
W09629,8
W09321,8
W09315,8
W33429,8
W09287,8
W09279,8
W09273,8
W09175,8
W09094,8
W09844,8
W32144,8
W33499,8
W33496,8
W09904,8
W33024,8
W33022,8
W31799,8
W32142,8
W04361,8
W09911,8
W04351,8
W04349,8
W32164,8
W32159,8
W04337,8
W04334,8
W32149,8
W32167,8
W09921,8
W09941,8
W10058,8
W10203,8
W10200,8
W11424,8
W11452,8
W10183,8
W33485,8
W33483,8
W11481,8
W33481,8
W33478,8
W10146,8
W11540,8
W33464,8
W33463,8
W10137,8
W11336,8
W33274,8
W18361,8
W33277,8
W03798,8
W31238,8
W16124,8
W16395,8
W18012,8
W31503,8
W31190,8
W31516,8
W31513,8
W16852,8
W31509,8
W02307,8
W02252,8
W01543,8
W02382,8
W31733,8
W31730,8
W19265,8
W31252,8
W31724,8
W31779,8
W31778,8
W03824,8
W31250,8
W19290,8
W19247,8
W18272,8
W03551,8
W31175,8
W16175,8
W31242,8
W31178,8
W19266,8
W31504,8
W31723,8
W01547,8
W16951,8
W31535,8
W31367,8
W31530,8
W31368,8
W17382,8
W02417,8
W31537,8
W17370,8
W31525,8
W31524,8
W02414,8
W31521,8
W31488,8
W17001,8
W31380,8
W31539,8
W01342,8
W02514,8
W31499,8
W31498,8
W31497,8
W01548,8
W31494,8
W16971,8
W31491,8
